Jahr,Qcode,Qname,val
2018,111,Affoltern,0.06
2018,91,Albisrieden,0.97
2018,92,Altstetten,0.66
2018,31,Alt-Wiedikon,0.88
2018,14,City,0.12
2018,24,Enge,0.11
2018,52,Escher Wyss,0.34
2018,71,Fluntern,0.67
2018,33,Friesenberg,0.23
2018,51,Gewerbeschule,0.65
2018,44,Hard,0.72
2018,73,Hirslanden,0.61
2018,123,Hirzenbach,0.22
2018,12,Hochschulen,0.34
2018,101,Höngg,0.03
2018,72,Hottingen,0.81
2018,42,Langstrasse,0.77
2018,23,Leimbach,0.07
2018,13,Lindenhof,0.93
2018,82,Mühlebach,0.69
2018,63,Oberstrass,0.38
2018,115,Oerlikon,0.32
2018,11,Rathaus,0.77
2018,121,Saatlen,0.46
2018,122,Schwamendingen-Mitte,0.35
2018,119,Seebach,0.5
2018,81,Seefeld,0.47
2018,34,Sihlfeld,0.24
2018,61,Unterstrass,0.34
2018,83,Weinegg,0.16
2018,41,Werd,1
2018,102,Wipkingen,0.38
2018,74,Witikon,0.14
2018,21,Wollishofen,0.05
